,business_name,one_line_address,longitude,latitude,street,zip,Industry,line_of_business,category
1,Sunglass Hut,"200 VESEY STREET, NEW YORK, NY 10285",-74.014865,40.713535,200 Vesey St,10281,SUNGLASSES AND SUN GOGGLES,EYEWEAR AND EYECARE,SHOPPING
2,Solstice Marketing Concepts,"500 5TH AVENUE STE 2330, NEW YORK, NY 10110",-73.981205,40.753912,500 5th Ave Ste 2330,10110,SUNGLASSES AND SUN GOGGLES,EYEWEAR AND EYECARE,SHOPPING
3,First Wholesale LLC,"1280 DEKALB AVENUE, BROOKLYN, NY 11221",-73.925797,40.697257,1280 Dekalb Ave,11221,SUNGLASSES AND SUN GOGGLES,EYEWEAR AND EYECARE,SHOPPING
4,Eye Shoppe On Seventh,"133 7TH AVENUE, BROOKLYN, NY 11215",-73.976239,40.672856,133 7th Ave,11215,OPTICAL GOODS - RETAIL,EYEWEAR AND EYECARE,SHOPPING
5,Omni Vision Eyecare,"340 ROUTE 202ND, SOMERS, NY 10589",-73.68515,41.328278999999995,340 Route 202,10589,OPTICAL GOODS - RETAIL,EYEWEAR AND EYECARE,SHOPPING
6,Eyeglass Factory On Broadway,"8319 BROADWAY, ELMHURST, NY 11373",-73.87931,40.740844,8319 Broadway,11373,OPTICAL GOODS - RETAIL,EYEWEAR AND EYECARE,SHOPPING
7,Vista Site Eye Care,"817 WEST 181ST STREET, NEW YORK, NY 10033",-73.939008,40.851290000000006,817 W 181st St,10033,OPTICAL GOODS - RETAIL,EYEWEAR AND EYECARE,SHOPPING
8,Artsee Eyewear,"200 WEST STREET, NEW YORK, NY 10282",-74.011852,40.718694,200 West St,10282,OPTICAL GOODS - RETAIL,EYEWEAR AND EYECARE,SHOPPING
9,Ckny Optical Corp,"233 BROADWAY, NEW YORK, NY 10279",-74.00832700000001,40.712458000000005,233 Broadway,10279,OPTICAL GOODS - RETAIL,EYEWEAR AND EYECARE,SHOPPING
10,American Optical,"230 PARK AVENUE, NEW YORK, NY 10169",-73.976116,40.754397,230 Park Ave,10169,OPTICAL GOODS - RETAIL,EYEWEAR AND EYECARE,SHOPPING
11,Bj's Optical,"339 GATEWAY DRIVE, BROOKLYN, NY 11239",-73.874011,40.650867,339 Gateway Dr,11239,OPTICAL GOODS - RETAIL,EYEWEAR AND EYECARE,SHOPPING
12,Optical Vision,"360 GATEWAY DRIVE, BROOKLYN, NY 11239",-73.870754,40.649747999999995,360 Gateway Dr,11239,OPTICAL GOODS - RETAIL,EYEWEAR AND EYECARE,SHOPPING
13,Brooklyn Optical,"5301 8TH AVENUE STE A, BROOKLYN, NY 11220",-74.00532700000001,40.639212,5301 8th Ave Ste A,11220,OPTICAL GOODS - RETAIL,EYEWEAR AND EYECARE,SHOPPING
14,Malik Eye Care,"188 DYCKMAN STREET, NEW YORK, NY 10040",-73.927003,40.864492999999996,188 Dyckman St,10040,OPTICAL GOODS - RETAIL,EYEWEAR AND EYECARE,SHOPPING
15,Optical B J,"1752 SHORE PARKWAY, BROOKLYN, NY 11214",-73.998125,40.59216,1752 Shore Pkwy,11214,OPTICAL GOODS - RETAIL,EYEWEAR AND EYECARE,SHOPPING
16,Konate Optical,"1692 PITKIN AVENUE, BROOKLYN, NY 11212",-73.91091,40.66955,1692 Pitkin Ave,11212,OPTICAL GOODS - RETAIL,EYEWEAR AND EYECARE,SHOPPING
17,Chen Rong,"6214 18TH AVENUE, BROOKLYN, NY 11204",-73.988948,40.620707,6214 18th Ave,11204,OPTICAL GOODS - RETAIL,EYEWEAR AND EYECARE,SHOPPING
18,Rugby Opitical,"4410 18TH AVENUE, BROOKLYN, NY 11204",-73.97750699999999,40.630786,4410 18th Ave,11204,OPTICAL GOODS - RETAIL,EYEWEAR AND EYECARE,SHOPPING
19,Mosholu Optical Inc,"3490 JEROME AVENUE, BRONX, NY 10467",-73.881217,40.882309,3490 Jerome Ave,10467,OPTICAL GOODS - RETAIL,EYEWEAR AND EYECARE,SHOPPING
20,Pink Optical,"544 EAST FORDHAM ROAD, BRONX, NY 10458",-73.886972,40.859192,544 E Fordham Rd,10458,OPTICAL GOODS - RETAIL,EYEWEAR AND EYECARE,SHOPPING
21,Revolution Eyes,"82 WEST BROADWAY, NEW YORK, NY 10007",-74.009697,40.715101000000004,82 W Broadway,10007,OPTICAL GOODS - RETAIL,EYEWEAR AND EYECARE,SHOPPING
22,Morgenthal Frederics,"399 WEST BROADWAY, NEW YORK, NY 10012",-74.001825,40.724296,399 W Broadway,10012,OPTICAL GOODS - RETAIL,EYEWEAR AND EYECARE,SHOPPING
23,Broadway Vision 135,"3361 BROADWAY, NEW YORK, NY 10031",-73.95483399999999,40.821133,3361 Broadway,10031,OPTICAL GOODS - RETAIL,EYEWEAR AND EYECARE,SHOPPING
24,Pride Optical,"150 WILLIAM STREET FRNT, NEW YORK, NY 10038",-74.00579300000001,40.709522,150 William St Frnt 2,10038,OPTICAL GOODS - RETAIL,EYEWEAR AND EYECARE,SHOPPING
25,Gohtham Eye Center LLC,"346 WEST 57TH STREET, NEW YORK, NY 10019",-73.98506,40.767540000000004,346 W 57th St,10019,OPTICAL GOODS - RETAIL,EYEWEAR AND EYECARE,SHOPPING
26,Ophthalmic Surgery Center,"2785 OCEAN PARKWAY, BROOKLYN, NY 11235",-73.966696,40.58171,2785 Ocean Pkwy,11235,OPTICAL GOODS - RETAIL,EYEWEAR AND EYECARE,SHOPPING
27,Greenpoint Eyecare,"909 MANHATTAN AVENUE, BROOKLYN, NY 11222",-73.95463199999999,40.730478999999995,909 Manhattan Ave,11222,OPTICAL GOODS - RETAIL,EYEWEAR AND EYECARE,SHOPPING
28,EZ Contacts,"544 PARK AVENUE, BROOKLYN, NY 11205",-73.953334,40.696706,544 Park Ave,11205,OPTICAL GOODS - RETAIL,EYEWEAR AND EYECARE,SHOPPING
